id,지점,상표,주소
38fecd15-7655-4184-8907-d1634b2c75ee,망티커피1호점,카페 아모제,울산울주군
38fecd15-7655-4184-8907-d1634b2c75ee,커스텀커피7호점,커스텀커피,대구서구
38fecd15-7655-4184-8907-d1634b2c75ee,카페0511호점,전광수 커피 하우스,울산울주군
38fecd15-7655-4184-8907-d1634b2c75ee,카페인중독2호점,아틀리에 빈,광주북구
38fecd15-7655-4184-8907-d1634b2c75ee,카페희다10호점,블루샥커피,울산중구
38fecd15-7655-4184-8907-d1634b2c75ee,서울앵무새8호점,디초콜릿커피앤드,인천재물포구
38fecd15-7655-4184-8907-d1634b2c75ee,압구정 볶는 커피7호점,빽다방,서울구로구
38fecd15-7655-4184-8907-d1634b2c75ee,전광수 커피 하우스8호점,아마스빈,부산동구
38fecd15-7655-4184-8907-d1634b2c75ee,Mr.Breeze3호점,CNN Cafe,대구군위군
38fecd15-7655-4184-8907-d1634b2c75ee,하바나익스프레스5호점,라떼떼커피,서울성동구
38fecd15-7655-4184-8907-d1634b2c75ee,캔버스10호점,힘이나는 커피생활,대구서구
38fecd15-7655-4184-8907-d1634b2c75ee,커스텀커피3호점,커피리브레,울산북구
38fecd15-7655-4184-8907-d1634b2c75ee,카페0518호점,와드커피,서울광진구
38fecd15-7655-4184-8907-d1634b2c75ee,빈스앤베리즈9호점,와플반트,대구서구
38fecd15-7655-4184-8907-d1634b2c75ee,케냐 에스프레소6호점,마노핀,광주북구
38fecd15-7655-4184-8907-d1634b2c75ee,커피베이10호점,커피빈 코리아,서울강북구
38fecd15-7655-4184-8907-d1634b2c75ee,셀렉토커피9호점,로즈버드,대구달성군
38fecd15-7655-4184-8907-d1634b2c75ee,시그니처13호점,칠리노,울산울주군
38fecd15-7655-4184-8907-d1634b2c75ee,카페 루앤비5호점,구스토,대구북구
38fecd15-7655-4184-8907-d1634b2c75ee,커피마마2호점,테라로사 커피,부산금정구
38fecd15-7655-4184-8907-d1634b2c75ee,자스민커피6호점,두낫디스터브,서울노원구
38fecd15-7655-4184-8907-d1634b2c75ee,카페코지9호점,베니샤프,대구군위군
38fecd15-7655-4184-8907-d1634b2c75ee,바빈스커피4호점,반달커피,대전동구
38fecd15-7655-4184-8907-d1634b2c75ee,사과당3호점,캔버스,인천남동구
38fecd15-7655-4184-8907-d1634b2c75ee,어벤더치커피7호점,티타임,대전중구
38fecd15-7655-4184-8907-d1634b2c75ee,콩꼬물10호점,읍천리382,대구달성군
38fecd15-7655-4184-8907-d1634b2c75ee,아이캔커피7호점,빈스빈스,울산중구
38fecd15-7655-4184-8907-d1634b2c75ee,해리스카페2호점,발도스커피,울산중구
38fecd15-7655-4184-8907-d1634b2c75ee,1000cc커피1호점,꿀스커피,대구군위군
38fecd15-7655-4184-8907-d1634b2c75ee,커스텀커피5호점,카페일분,인천미추홀구
38fecd15-7655-4184-8907-d1634b2c75ee,카페봄봄9호점,벌크커피,대구달서구
38fecd15-7655-4184-8907-d1634b2c75ee,티타임5호점,커피리브레,광주서구
38fecd15-7655-4184-8907-d1634b2c75ee,카페 루앤비9호점,읍천리382,울산남구
38fecd15-7655-4184-8907-d1634b2c75ee,테라로사 커피5호점,토프레소,광주동구
38fecd15-7655-4184-8907-d1634b2c75ee,카페 네스카페10호점,로즈버드,광주북구
38fecd15-7655-4184-8907-d1634b2c75ee,포트캔커피6호점,커피리브레,부산북구
38fecd15-7655-4184-8907-d1634b2c75ee,엔제리너스 커피6호점,바리스텔라,대전유성구
38fecd15-7655-4184-8907-d1634b2c75ee,세라젬웰카페8호점,퐁치커피익스프레스,광주동구
38fecd15-7655-4184-8907-d1634b2c75ee,비엔나커피하우스3호점,파란만잔,부산해운대구
38fecd15-7655-4184-8907-d1634b2c75ee,티타임6호점,니어앤디어,대구달성군
38fecd15-7655-4184-8907-d1634b2c75ee,하바나익스프레스6호점,복고다방,대전중구
38fecd15-7655-4184-8907-d1634b2c75ee,헬로 키티 카페5호점,프렌치 커피,부산남구
38fecd15-7655-4184-8907-d1634b2c75ee,킹프레소4호점,바나프레소,서울서초구
38fecd15-7655-4184-8907-d1634b2c75ee,카페디아떼10호점,아티제,인천남동구
